base,exponent,result,power_value,,REQ_ID
2,2,4,1,VERY_LOW,REQ_101
0,1,0,1,VERY_LOW,REQ_102
0,2,0,1,VERY_LOW,REQ_103
1,3,1,1,VERY_LOW,REQ_104
1,4,1,1,VERY_LOW,REQ_105
2,5,32,2,LOW,REQ_106
2,6,64,2,LOW,REQ_107
3,7,2187,3,MEDIUM,REQ_108
3,8,6561,4,HIGH,REQ_109
4,9,262144,5,VERY_HIGH,REQ_110
4,1,4,1,VERY_LOW,REQ_111
5,2,25,2,LOW,REQ_112
5,3,125,3,MEDIUM,REQ_113
6,4,1296,3,MEDIUM,REQ_114
6,5,7776,4,HIGH,REQ_115
7,6,117649,5,VERY_HIGH,REQ_116
7,7,823543,5,VERY_HIGH,REQ_117
8,1,8,1,VERY_LOW,REQ_118
8,2,64,2,LOW,REQ_119
9,3,729,3,MEDIUM,REQ_120
9,4,6561,4,HIGH,REQ_121
10,5,100000,5,VERY_HIGH,REQ_122
10,6,1000000,5,VERY_HIGH,REQ_123
